"id","description"
"571","– Kantonale Beihilfen zu AHV/IV
– Gemeindezuschüsse zu den kantonalen Beihilfen
Umfasst nicht:
– Ergänzungsleistungen IV gemäss Bundesgesetz vom 19. Juni 1959 über die Invalidenversicherung (IVG, SR 831.20) (522)
– Ergänzungsleistungen AHV gemäss Bundesgesetz vom 20. Dezember 1946 über die Alters- und Hinterlassenenversicherung (AHVG, SR 831.10) (532)"
"572","– Unterstützung gemäss kantonaler Sozialhilfegesetzgebung"
"573","– Dienstleistungen oder Unterstützung im Bereich des Asyl- und Flüchtlingswesens"
"579","– Aufgaben im Bereich Fürsorge, die keiner spezifischen Funktion zugeordnet werden können"
"580","– Verwaltung, Betrieb oder Unterstützung angewandter Forschung und experimenteller Entwicklung im Bereich soziale Sicherheit
Umfasst nicht:
– Grundlagenforschung (281)"
"591","– Verwaltung, Betrieb oder Unterstützung gemäss Bundesgesetz vom 25. September 1952 über den Erwerbsersatz für Dienstleistende und bei Mutterschaft (Erwerbsersatzgesetz, EOG, SR 834.1)
– Beiträge der öffentlichen Hand
Umfasst nicht:
– Arbeitgeberbeiträge (sind nach Aufgabenbereichen zugeordnet)"
"592","– Leistungen mit Hilfscharakter, Patenschaft für bedrängte Gemeinden im Inland"
"593","– Beiträge an gemeinnützige, im Ausland tätige Institutionen (Caritas, HEKS, IKRK, etc.)
"
"611","– Verwaltung, Dienstleistungen, Betrieb, Bau, Unterhalt im Zusammenhang mit dem Nationalstrassennetz
Umfasst nicht:
– Verkehrssicherheit (112), Strassenverkehrsamt (113)"
"612","– Verwaltung, Dienstleistungen, Betrieb, Bau, Unterhalt im Zusammenhang mit dem Hauptstrassennetz gemäss Bundesgesetz vom 22. März 1985 über die Verwendung der zweckgebundenen Mineralölsteuer (MinVG, SR 725.116.2)
Umfasst nicht:
– Verkehrssicherheit (112), Strassenverkehrsamt (113)"
"613","– Verwaltung, Dienstleistungen, Betrieb, Bau, Unterhalt im Zusammenhang mit den Kantonsstrassen, die nicht zur Funktion 612 gehören
Umfasst nicht:
– Verkehrssicherheit (112), Strassenverkehrsamt (113)"
"615","– Verwaltung, Dienstleistungen, Betrieb, Bau, Unterhalt
– Gemeindeeigene Parkplätze, Parkhäuser, Park and Ride, Parkuhren usw. inkl. Verkehrseinrichtungen, Strassenschmuck, Weihnachtsbeleuchtung, Rabatten usw
61"
"619","– Verwaltung, Dienstleistungen, Betrieb, Bau, Unterhalt im Zusammenhang mit Strassen, die keiner anderen Funktion zugewiesen werden können
– Stand- / Durchgangsplätze für Fahrende"
"621","– Infrastruktur für den Bahnverkehr (Bau, Unterhalt, Beschaffungen)
Umfasst nicht:
– Betriebskosten und Betriebsbeiträge der Bahnunternehmen (622)"
"622","– Betriebsbeiträge des Bundes und der Kantone an die SBB und konzessionierte Transportunternehmen im Regionalverkehr
Umfasst nicht:
– Infrastruktur (621)"
"629","– Aufgaben und Beiträge im Bereich des öffentlichen Verkehrs (62), die keiner spezifischen Funktion zugeordnet werden können"
"631","– Verwaltung oder Unterstützung von Angelegenheiten betreffend Betrieb, Nutzung, Errichtung und Instandhaltung von Schifffahrtsnetzen"
"632","– Aufsicht und Erlassung von Vorschriften, Verwaltung oder Unterstützung von Angelegenheiten betreffend Betrieb, Nutzung von Luftverkehrsnetzen und -einrichtungen"
"633","– Verwaltung oder Unterstützung von Angelegenheiten betreffend Betrieb, Gebrauch, Errichtung und Instandhaltung anderen Beförderungssystemen (Seilbahnen, Kabelbahnen, Drahtseilbahnen, etc.)"
"634","– Übrige Aufgaben, die nicht einer bestimmten Funktion im Bereich des Verkehrs zugeordnet werden können"
"640","– Verwaltung oder Unterstützung von Angelegenheiten betreffend Errichtung, Ausbau, Verbesserung, Betrieb und Instandhaltung von Nachrichtenübermittlungsnetzwerken (postalische, telefonische, telegrafische, drahtlose Übermittlungssysteme und durch Satelliten)
– Erlassung von Vorschriften für den Betrieb von Nachrichtenübermittlungsnetzwerken (Erteilung von Konzessionen, Zuteilung von Frequenzen, Spezifikationen der zu versorgenden Märkte und der zu erhebenden Tarife, etc.)
Umfasst nicht:
– Radio- und Satellitennavigationssysteme für Schifffahrt (631)
– Radio- und Satellitennavigationssysteme für Luftverkehr (632)
– Radio- und Fernsehrundfunknetze (332)"
"681","– Verwaltung, Betrieb oder Unterstützung angewandter Forschung und experimenteller Entwicklung im Bereich Verkehr
Umfasst nicht:
– Grundlagenforschung (281)"
"682","– Verwaltung, Betrieb oder Unterstützung angewandter Forschung und experimenteller Entwicklung im Bereich Nachrichtenübermittlung
Umfasst nicht:
– Grundlagenforschung (281)"
"710","– Verwaltung oder Unterstützung von Angelegenheiten der Wasserversorgung
– Aufsicht und Erlassung von Vorschriften von sämtlichen Aspekten der Trinkwasserversorgung, einschließlich Wasserreinheit, Preis- und Mengenkontrollen
– Errichtung oder Betrieb von nicht-gewerblichen Wasserversorgungssystemen
Umfasst nicht:
– Bewässerungssysteme der Landwirtschaft (81)
– Sammlung und Behandlung von Abwasser (720)"
"720","– Verwaltung, Aufsicht, Kontrolle, Bau, Unterhalt, Betrieb oder Unterstützung von Abwassersystemen und Abwasserbehandlungseinrichtungen"
"730","– Verwaltung, Aufsicht, Kontrolle, Betrieb oder Unterstützung von Systemen zur Sammlung, Behandlung und Beseitigung von Abfällen
– Unterstützung für Betrieb, Errichtung, Instandhaltung oder Ausbau von solchen Systemen
– Sammlung, Behandlung und Beseitigung von Nuklearabfällen"
"741","– Unterstützung für Betrieb, Errichtung, Instandhaltung oder Ausbau von Gewässerverbauungen"
"742","– Unterstützung für Betrieb, Errichtung, Instandhaltung oder Ausbau von Verbauungen zum Schutz von Lawinen, Steinschlag, Murgängen usw
– Aufforstungen zum Zwecke der Lawinenverbauungen"
"750","– Maßnahmen und Aktivitäten, die auf den Schutz und die Wiederansiedlung von Tier- und Pflanzenarten, den Schutz und die Wiederherstellung von Ökosystemen und Lebensräumen sowie den Schutz und die Wiederherstellung von natürlichen und seminatürlichen Landschaften abzielen
– Verwaltung, Betrieb oder Unterstützung von Naturparks und -reservaten
Umfasst nicht:
– Schutz und Wiederherstellung von Geschichtsdenkmälern (312)
– Unkrautbekämpfung in der Landwirtschaft (81)
– Schutz der Wälder vor Waldbränden, sofern dabei wirtschaftliche Überlegungen im Vordergrund stehen (820)"
"761","– Maßnahmen und Aktivitäten zur Verringerung von Luftemissionen oder von Luftschadstoffkonzentrationen sowie Maßnahmen und Aktivitäten zur Bekämpfung der Emissionen von Treibhausgasen und Gasen, die sich nachteilig auf die stratosphärische Ozonschicht auswirken"
"769","– Maßnahmen und Aktivitäten zum Schutz und zur Sanierung von Boden und Grundwasser
– Maßnahmen und Aktivitäten zum Lärm- und Erschütterungsschutz
– Maßnahmen und Aktivitäten zum Strahlenschutz
Umfasst nicht: 
– Lärm- und Erschütterungsschutz der ausschließlich dem Arbeitschutz (850)"
"771","– Verwaltung, Aufsicht, Kontrolle oder Unterstützung im Bestattungswesen
– Verwaltung, Aufsicht, Kontrolle, Bau, Unterhalt, Betrieb von Friedhöfen"
"779","– Angelegenheiten des Umweltschutzes, die nicht anderweitig zugeordnet werden können"
"781","– Verwaltung, Betrieb oder Unterstützung angewandter Forschung und experimenteller Entwicklung im Bereich Umweltschutz
Umfasst nicht:
– Grundlagenforschung (281)"
"782","– Verwaltung, Betrieb oder Unterstützung angewandter Forschung und experimenteller Entwicklung im Bereich Raumordnung
Umfasst nicht:
– Grundlagenforschung (281)"
"790","– Verwaltung von Angelegenheiten der Raumplanung, Verwaltung von Bauordnungen, Flächennutzungsplänen und Bauvorschriften
– Wohnbauförderung
Umfasst nicht:
– Sozialer Wohnungsbau (560)
,"
"811","– Verwaltung, Aufsicht und Erlassung von Vorschriften der Agrarwirtschaft"
"812","– Massnahmen zur Verbesserung der Lebens- und Wirtschaftsverhältnisse im ländlichen Raum, Unterstützung in Form von Investitionshilfen"
"813","– Verwaltung, Dienstleistungen oder Förderung im Bereich der Viehzuchtverbesserungen
– Aufsicht und Kontrolle im Bereich der Tierhaltung und Tierseuchenbekämpfung"
"814","– Verwaltung, Dienstleistungen oder Förderung im Bereich des Pflanzenbaus
– Aufsicht und Kontrolle im Bereich des Pflanzenbaus"
"815","– Betrieb oder Unterstützung von Programmen und Projekten zur Stabilisierung oder Verbesserung der Preise für Agrarprodukte und landwirtschaftlicher Einkommen
– Absatzförderung von Agrarprodukten"
"816","– Unterstützung gemäss Verordnung vom 7. Dezember 1998 über die Direktzahlungen an die Landwirtschaft (Direktzahlungsverordnung, DZV, SR 910.13)"
"817","– Begleitmassnahmen zur sozialen Abfederung des Strukturwandels wie Betriebshilfedarlehen, Darlehen zur Umschuldung bestehender verzinslicher Schulden, Umschulungsbeihilfen in einen nichtlandwirtschaftlichen Beruf
Umfasst nicht:
– Familienzulagen in der Landwirtschaft (541)"
"818","– Betrieb, Bau und Unterhalt von Alpwirtschaft im Verwaltungsvermögen"
"820","– Verwaltung oder Unterstützung von Angelegenheiten und Dienstleistungen der Forstwirtschaft
– Aufsicht und Regulierung von Tätigkeiten der Forstwirtschaft
– Betrieb oder Unterstützung von Aufforstungsarbeiten, Seuchen- und Krankheitskontrollen, Bekämpfung von Waldbränden und Brandverhütung und Dienstleistungen der Waldflächenerweiterung
Umfasst nicht:
– Aufforstungen zum Zwecke der Lawinenverbauungen (742)"
"830","– Diese Klasse umfasst sowohl erwerbsmäßige Fischerei und Jagd als auch Fischerei und Jagd als Sport
– Verwaltung von Angelegenheiten der Fischerei und Jagd, Schutz, Vermehrung und rationelle Nutzung von Fisch- und Wildbeständen, Aufsicht und Regulierung der Süßwasserfischerei, Fischfarmen, Jagd wildlebender Tiere und Vergabe von Angel- und Jagdlizenzen
– Betrieb von Fischzuchten oder Unterstützung von Erweiterungs-, Bestückungs- und Fischausleseaktivitäten, etc
– Unterstützung erwerbsmäßiger Fischerei- und Jagdaktivitäten, einschließlich Errichtung und Betrieb von Fischzuchtanstalten
Umfasst nicht:
– Verwaltung, Betrieb oder Unterstützung von Naturparks und -reservaten (750)"
"840","– Verwaltung von Angelegenheiten des Fremdenverkehrs, Förderung und Entwicklung des Fremdenverkehrs, Zusammenarbeit mit der Verkehrs-, Beherbergungs- und Gaststättenwirtschaft und anderen Wirtschaftszweigen, die vom Vorhandensein des Fremdenverkehrs profitieren
– Betrieb von Fremdenverkehrsbüros im In- und Ausland, etc., Organisation von Werbekampagnen, einschließlich der Erstellung und Verbreitung von Werbebroschüren und ähnlichem"
"850","– Verwaltung, Betrieb, Regulierung oder Unterstützung von Angelegenheiten der Wirtschaft wie der gesamten Aus- und Einfuhr, Waren- und Kapitalmärkte, Festlegung von Einkommensstandards, allgemeine Maßnahmen zur Förderung der Wirtschaft, allgemeine Erlassung von Vorschriften über Monopole und sonstige Beschränkungen des Handels und des Marktzuganges, etc, Formulierung und Durchführung allgemeiner Wirtschaftspolitik
– Betrieb oder Unterstützung von Einrichtungen, die mit Patenten, Warenzeichen und Urheberrechten beschäftigt sind
– Konsumenteninformation und -schutz
– Formulierung und Durchführung allgemeiner Beschäftigungspolitik, Überwachung und Regulierung der Arbeitsbedingungen und Arbeitnehmerschutz
– Einkauf und Lagerung von Lebensmitteln, Ausrüstung und andern Versorgungsgütern für den Gebrauch in Notsituationen und Katastrophen in Friedenszeiten
Umfasst nicht:
– Regionale Arbeitsvermittlungszentren (559)
– Leistungen an Arbeitslose (552)"
"860","– Finanzmarktaufsicht
– Bankenaufsicht
– Dotationskapital an Banken, Gewinnbeteiligungen von Banken"
"871","– Verwaltung, Aufsicht und Regulierung, Unterstützung von Angelegenheiten betreffend Erzeugung, Verteilung und Vertrieb von Elektrizität
– Errichtung oder Betrieb von Elektrizitätsversorgungssystemen
– Unterstützung der Elektrizitätsversorgungsindustrie, wie auch von Ausgaben für die Errichtung von Dämmen und anderen Anlagen (z.B. Wind oder Sonne)"
"872","– Verwaltung, Aufsicht oder Unterstützung von Angelegenheiten betreffend die Verarbeitung bzw. Erzeugung, Verteilung und Vertrieb von Erdöl und Gas"
"873","– Verwaltung oder Unterstützung von Angelegenheiten betreffend nichtelektrische Energie, welche hauptsächlich Produktion, Vertrieb und Verwertung von Wärme in Form von Dampf, heißem Wasser oder heißer Luft betrifft
– Errichtung oder Betrieb von Versorgungssysteme nichtelektrischer Energie
– Erdwärme
– nichtelektrische Energie, die von Wind- oder Sonnenwärme produziert wird"
"879","– Verwaltung oder Unterstützung von Angelegenheiten betreffend andere Brennstoffe (wie Alkohol, Holz und Holzabfälle, ausgepresstes Zuckerrohr und andere, kommerziell nicht verwertete Brennstoffe) sowie Angelegenheiten im Bereich von Energie, die keiner andern Funktion zugewiesen werden können
Umfasst nicht:
– Entsorgung von radioaktiven Abfällen (730)
– Wind und Sonnenwärme (871) oder (873)
– Geothermische Energie (873)"
"881","– Verwaltung, Betrieb oder Unterstützung angewandter Forschung und experimenteller Entwicklung im Bereich Landwirtschaft
Umfasst nicht:
– Grundlagenforschung (281)"
"882","– Verwaltung, Betrieb oder Unterstützung angewandter Forschung und experimenteller Entwicklung im Bereich Forstwirtschaft, Jagd und Fischerei
Umfasst nicht:
– Grundlagenforschung (281)"
"883","– Verwaltung, Betrieb oder Unterstützung angewandter Forschung und experimenteller Entwicklung im Bereich Brennstoffe und Energie
Umfasst nicht:
– Grundlagenforschung (281)"
"884","– Verwaltung, Betrieb oder Unterstützung angewandter Forschung und experimenteller Entwicklung im Bereich Übrige Volkswirtschaft
Umfasst nicht:
– Grundlagenforschung (281)"
"890","– Angelegenheiten der Volkswirtschaft, die nicht anderweitig zugeordnet werden können"
"910","– Die Aufteilung der Steuerarten erfolgt nach dem Kontenplan HRM2
Umfasst nicht:
– Finanz- und Steuerverwaltung (021)
– Steuerbussen (021)"
"920","– Staatsvertragliche Steuerrückerstattungen an öffentliche Gemeinwesen anderer Staaten"
"930","– Ausgleich der finanziellen Leistungsfähigkeit
– Die Aufteilung auf die verschiedenen Arten des Finanz- und Lastenausgleiches erfolgt nach dem Kontenplan HRM2"
"940","– Nur für nicht zweckgebundene Ertragsanteile verwenden, für zweckgebunden Ertragsanteile ist die entsprechende Funktion zu wählen
– Die Aufteilung der nicht zweckgebundenen Ertragsanteile an Bundeseinnahmen erfolgt nach dem Kontenplan HRM2
– Es handelt sich um nicht zweckgebundene Ertragsanteile an Bundeseinnahmen, die weder dem Finanz- und Lastenausgleich (Funktion 930) noch einem anderen Aufgabengebiet (Funktion) zugeordnet werden können und die dem öffentlichen Gemeinwesen zur freien Verfügung stehen"
"950","– Nur für nicht zweckgebundene Ertragsanteile verwenden, für zweckgebunden Ertragsanteile ist die entsprechende Funktion zu wählen
– Die Aufteilung der nicht zweckgebundenen Ertragsanteile an Bundeseinnahmen erfolgt nach dem Kontenplan HRM2
– Es handelt sich um nicht zweckgebundene übrige Ertragsanteile, die weder dem Finanz- und Lastenausgleich (Funktion 930) noch einem anderen Aufgabengebiet (Funktion) zugeordnet werden können und die dem öffentlichen Gemeinwesen zur freien Verfügung stehen"
"961","– Aktiv- und Passivzinsen
Umfasst nicht:
– Verwaltungskosten der Staatsschuldenpolitik (021)
– Mietzinsen auf Liegenschaften"
"962","– Kommissionen, Abgaben und Spesen auf Wertpapieren"
"963","– Liegenschaften als Kapitalanlagen, die veräusserbar sind und nicht der Verwaltungstätigkeit dienen"
"969","– Finanzvermögen, die keiner bestimmten Funktion zugeordnet werden können
– Negativzinsen."
"990","– Nicht zuteilbare buchmässige Posten"
